model,side,layer,cos_unique_shared,cos_unique_raw,cos_shared_raw,cos_unique_conditioning,cos_shared_conditioning,i_unique,i_shared,sigma_unique,sigma_shared,energy_A_unique,energy_B_unique,energy_A_shared,energy_B_shared,count_a,count_b,direction_hash
whisper,encoder,18,-3.0357660829594124e-17,0.5395935891136797,-0.1409876673412827,,,0,3,0.999965061278061,0.9955742817085068,351.5250979832927,373.78551815298755,0.9707488084474456,1.173668051094464,14745,12639,sha256:f124788c1e961eec11e783db025b2d34f77e316b9520c51c7ed8e4cc36241d24
whisper,encoder,19,4.2500725161431774e-17,0.5479146626116858,-0.09654039927858128,,,0,3,0.9999634642160026,0.9957574158366289,349.7481728789975,371.9439484083442,0.9394896499146836,1.0957680347841179,14745,12639,sha256:fb2e94594f831b451f9b5ade66d56882275e452dde3186f41996fd14cc109e23
whisper,encoder,20,-1.214306433183765e-17,0.4696766166823691,-0.044582063555029305,,,0,3,0.9999530682380681,0.9951553841963138,351.9158867764387,373.9753446058341,0.9307388384184339,1.0346867315130548,14745,12639,sha256:8da67d43b15d1ed889d0c2ffa70f7dbc71b6220a8807b23a20658e6669ea2dd3
whisper,encoder,21,-1.734723475976807e-17,0.10805161493842014,-0.9627548201337195,,,1,0,0.9999465117600647,0.9999982538727596,351.43544578111334,373.09635099613104,3277.454618833755,10760.311587046785,14745,12639,sha256:5b451740b5414ea5056ecd66c013e8ca6a18e682417e70f60e9441faa611fe47
whisper,encoder,22,6.938893903907228e-18,0.10711826772688533,-0.9448876393199218,,,1,0,0.9999447777684005,0.9999982093703568,348.3033421125099,370.2533858691458,3277.330304672214,10759.828471349098,14745,12639,sha256:f54dc5a5636e2a9afa2d8d5381274db89a31177738048f91a6510f1ba02b5673
whisper,encoder,23,-4.423544863740858e-17,0.07557450524764166,-0.9328604575365623,,,30,0,0.9371523362625843,0.9999980540853245,0.4065735731467921,0.21589910707472132,3277.278301961046,10759.751802897777,14745,12639,sha256:95fb79443c690e85cf498b5d5ff7cf8606d6e2157cdb1ebeb770d40d8f2fd171
whisper,encoder,24,-3.469446951953614e-17,0.10362002953519224,-0.9269821728532799,,,1,0,0.9999313471517534,0.9999978574492572,342.3259306617881,363.6555721529718,3277.2952986047226,10759.945363474215,14745,12639,sha256:69c246959027af42dc8b30ec8130a63c0d4b53d6add069ddd2942cd3bad8235d
whisper,encoder,25,0.0,0.09784905650060785,-0.9194038467140752,,,1,0,0.9999116521719407,0.9999976026701245,339.2585854108985,360.0944835882933,3277.227533542674,10759.946705674376,14745,12639,sha256:24780d84a0534120e435921e45b8793a3d4ec3c959a6244613293c07d92b1917
whisper,encoder,26,5.204170427930421e-18,0.03455956347745292,-0.9190549224873841,,,30,0,0.8947568733907674,0.9999974244593638,0.4097437437262757,0.32640394781232474,3277.1903967061803,10759.90412719067,14745,12639,sha256:a22b527b4bde78b7eab7d37612c22e1f9a8cb1e2d8c57ea238aed05306a1154c
whisper,encoder,27,8.673617379884035e-18,0.09854764408615746,-0.919240338145012,,,28,0,0.8888232306346973,0.999997321626371,0.5141878775978089,0.36894167903073705,3277.0225956572585,10759.323281315012,14745,12639,sha256:970a0f5692f63b5a33e8818d4c0650a2d4d7c6a2558983d676aef7dadfeb2cf4
whisper,encoder,28,1.214306433183765e-17,0.20280134446801906,-0.8800984046092284,,,28,0,0.8925554919495533,0.9999971265379299,0.8649769918304836,0.4189283039036712,3276.904960367728,10759.038213491673,14745,12639,sha256:8467ae5006b8044fac2703cf476037855d9b863863922949cad610a82ff5bda0
whisper,encoder,29,-2.0816681711721685e-17,0.17940558325412548,-0.8594127362519474,,,30,0,0.879104804269282,0.9999970363999737,1.0056312266902747,0.4851663383601427,3276.774126511823,10758.348282801184,14745,12639,sha256:2d6b14ebbc44951f160585e3b0a96ab6db294ba3fb4f82b252d3992fa8e38f4a
whisper,encoder,30,1.734723475976807e-17,0.057900313371056236,-0.8092099044393624,,,2,0,0.9994805750166483,0.9999965111967739,209.0660016048854,221.47843463920884,3276.6556731904,10757.850883286897,14745,12639,sha256:95dd84ae2ead1da3f4ad81fd8601975160e99163375a64596fffda7bf3604780
whisper,encoder,31,6.938893903907228e-18,0.06688230019826548,-0.7690045634775937,,,2,0,0.9993464148845186,0.9999960655614651,236.056673629971,251.50269173260088,3276.4841495411783,10756.55085188882,14745,12639,sha256:9db12fab122cce7ce632eb2b94928422e47779e6bb1bb4be0aa514bee49ee8d4
whisper,decoder,0,1.0408340855860843e-17,0.03458208823203208,0.16293185878132818,0.02785817415675635,-0.4402304799199964,30,0,0.761528389031674,0.997960576087519,0.04007095992860621,0.021070470919700213,1.4678185376725486,1.2660944418128883,453,378,sha256:833eb0fb7efa6069e2df050b47c3ba9e75fa00a56ad2662eff6b5927e6c7e8ae
whisper,decoder,1,2.0816681711721685e-17,-0.03962680106784779,0.2513540849126218,-0.07555480798829353,-0.27857698102087647,29,0,0.7451089382339768,0.9981066097691199,0.08668654771565323,0.0582933031165776,3.49839754615504,3.7430717453630926,453,378,sha256:c43c33bf523e7ca0ab1111e1eb33d3e3a7e810bc48ac271d4a125b2953d7623e
whisper,decoder,2,1.231653667943533e-16,-0.040576482465590244,0.291195817715538,0.003955492112802108,-0.04840036065681594,21,0,0.8430414830144305,0.9985067168998135,0.22734775136645935,0.09218829240331086,5.3733373796800326,5.449744910665461,453,378,sha256:0a600602f6d28f6ba2540827e76f93f0aea8e39d962f78212b02b9b1faeda30a
